id, title, last_refresh_time, created_time, highlighted, urgent, top_ad, price, currency, negotiable, previous_value, business, locationID, locationName, regionID, regionName, categoryID, categoryName, delivery, safeDeal, url
216929817,Iphone 7 plus 128gb,2021-04-15T08:14:47+03:00,2021-03-15T08:30:35+02:00,False,False,False,1190,RON,True,,True,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-7-plus-128gb-IDeGdm1.html
215379156,"Iphone 6S, 16 GB",2021-04-14T23:56:29+03:00,2021-02-16T17:22:05+02:00,False,False,False,350,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-6s-16-gb-IDezHXm.html
213247489,Iphone 8 Grey Neverlock 64Gb,2021-04-14T17:55:56+03:00,2021-01-07T21:35:51+02:00,False,False,False,1049,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-8-grey-neverlock-64gb-IDeqLpD.html
212202948,Iphone 12 Pro Max Gold 256 Gb Impecabil Neverlock,2021-04-14T14:15:17+03:00,2020-12-13T19:02:32+02:00,False,False,False,5300,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-12-pro-max-gold-256-gb-impecabil-neverlock-IDemnGc.html
213455999,Iphone 11 White 64Gb,2021-04-14T11:48:08+03:00,2021-01-12T13:50:57+02:00,False,False,False,2500,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-11-white-64gb-IDerDEH.html
210337182,Vand telefon Iphone 6S,2021-04-12T11:40:39+03:00,2020-11-07T17:02:34+02:00,False,False,False,500,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/vand-telefon-iphone-6s-IDeeyjc.html
213343268,Iphone XR,2021-04-12T11:13:19+03:00,2021-01-10T00:13:06+02:00,False,False,False,1700,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-xr-IDeraks.html
218614332,Iphone 6s plus 64GB,2021-04-11T16:24:09+03:00,2021-04-11T16:23:30+03:00,False,False,False,700,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-6s-plus-64gb-IDeNhzC.html
193640151,iPhone 7 128 GB,2021-04-10T16:47:21+03:00,2019-12-07T17:55:33+02:00,False,False,False,599,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-7-128-gb-IDd6uEf.html
218574318,Iphone 8 plus,2021-04-10T15:48:49+03:00,2021-04-10T15:48:09+03:00,False,False,False,1450,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-8-plus-IDeN7ae.html
218025033,Iphone 12 pro max 512 Gb,2021-04-28T17:17:29+03:00,2021-04-01T17:15:31+03:00,True,False,True,5990,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-12-pro-max-512-gb-IDeKOgN.html
